"Tarih","PM10","SO2"
"3/11/2020","34.01275","12.50289"
"3/11/2020","35.99151","12.43585"
"3/11/2020","36","12.72805"
"3/11/2020","52.92786","15.85485"
"3/11/2020","41.05092","17.23656"
"3/11/2020","34.0297","24.85249"
"3/11/2020","25.03824","18.38633"
"3/11/2020","23.01132","8.288976"
"3/11/2020","31.94908","8.167192"
"3/11/2020","40.94908","8.067119"
"3/11/2020","42.98869","9.648444"
"3/11/2020","43.99576","10.14758"
"3/11/2020","35.03819","10.12183"
"3/11/2020","44.98579","12.02153"
"3/10/2020","46.99151","11.63497"
"3/10/2020","54.96605","10.722"
"3/10/2020","68.9406","11.94702"
"3/10/2020","57.05092","10.56117"
"3/10/2020","62.97454","7.984427"
"3/10/2020","48.06374","8.189989"
"3/10/2020","41.0297","7.950889"
"3/10/2020","33.03395","9.596907"
"3/10/2020","26.0297","12.30296"
"3/10/2020","26",""
"3/10/2020","32.9703","14.03605"
"3/10/2020","29.01697","9.88737"
"3/10/2020","45.92786","9.68094"
"3/10/2020","51.97454","11.68116"
"3/10/2020","48.01697","13.13136"
"3/10/2020","45.01273","12.82993"
"3/10/2020","49.98582","5.420061"
"3/10/2020","47.0085","4.697422"
"3/10/2020","45.00566","3.728448"
"3/10/2020","41.01135","4.372334"
"3/10/2020","40.00284","6.490128"
"3/10/2020","62.93475","6.252008"
"3/10/2020","93.91218","8.845808"
"3/10/2020","94","15.80012"
"3/9/2020","67.0766","19.27588"
"3/9/2020","106.8865","17.64421"
"3/9/2020","80.0766","29.71078"
"3/9/2020","71.02554","29.62851"
"3/9/2020","35.10213","16.83025"
"3/9/2020","29.01702","11.2099"
"3/9/2020","25.01135","7.261006"
"3/9/2020","26.99433","6.443642"
"3/9/2020","27","6.990875"
"3/9/2020","30.98867","5.119094"
"3/9/2020","34.98865","5.25449"
"3/9/2020","38.98867","5.551156"
"3/9/2020","39","6.723756"
"3/9/2020","42.98867","8.303952"
"3/9/2020","63.94051","15.71972"
"3/9/2020","44.05666","12.08625"
"3/9/2020","31.03688","9.691347"
"3/9/2020","26.01418","7.068924"
"3/9/2020","26","7.776859"
"3/9/2020","23.00851","8.302734"
"3/9/2020","29.98014","4.716752"
"3/9/2020","37.97731","5.332537"
"3/9/2020","57.94334","7.797063"
"3/9/2020","38","10.77054"
"3/8/2020","35.00849","13.68943"
"3/8/2020","49.95757","17.59394"
"3/8/2020","51.99434","14.23887"
"3/8/2020","53.99434","17.0565"
"3/8/2020","57.98869","15.37089"
"3/8/2020","32.07355","5.20876"
"3/8/2020","27.01414","4.624025"
"3/8/2020","22.01414","4.484723"
"3/8/2020","26.98586","4.405669"
"3/8/2020","28.99434","4.819603"
"3/8/2020","44.94937","5.497549"
"3/8/2020","43.00567","6.530345"
"3/8/2020","50.97734","8.077319"
"3/8/2020","62.96601","14.3586"
"3/8/2020","53.02833","16.67264"
"3/8/2020","42.0312","7.072009"
"3/8/2020","39.00849","4.987855"
"3/8/2020","37.00566","4.970549"
"3/8/2020","29.02266","5.514796"
"3/8/2020","41.96317","5.550797"
"3/8/2020","51.97167","7.398338"
"3/8/2020","46.01697","9.64656"
"3/8/2020","48.9915","10.83154"
"3/8/2020","49","16.43158"
"3/7/2020","50.99434","23.65732"
"3/7/2020","68.94908","28.34846"
"3/7/2020","63.01697","23.91024"
"3/7/2020","85.93494","17.60295"
"3/7/2020","64.06232","16.99953"
"3/7/2020","56.03395","9.270215"
"3/7/2020","54.00849","7.525834"
"3/7/2020","52.00849","8.298014"
"3/7/2020","50.00566","8.08022"
"3/7/2020","49.00283","8.234004"
"3/7/2020","57.9745","8.13463"
"3/7/2020","62.98586","10.34957"
"3/7/2020","60.00849","8.822042"
"3/7/2020","59.00283","9.122597"
"3/7/2020","52.0198","20.71401"
"3/7/2020","36.04526","16.69387"
"3/7/2020","18.05092","7.085841"
"3/7/2020","23.98303","7.996418"
"3/7/2020","27.98868","11.76002"
"3/7/2020","29.99434","15.92054"
"3/7/2020","31.99434","14.79221"
"3/7/2020","41.97171","17.62288"
"3/7/2020","70.91808","22.55146"
"3/7/2020","56","21.4717"
"3/6/2020","41.04243","36.78809"
"3/6/2020","74.95184","53.72441"
"3/6/2020","92.94908","47.74906"
"3/6/2020","93","49.35336"
"3/6/2020","47.06516","47.34194"
"3/6/2020","42.00709","25.3157"
"3/6/2020","29.01844","27.49228"
"3/6/2020","24.00709","31.00196"
"3/6/2020","25.99716","22.56497"
"3/6/2020","25.00142","19.32496"
"3/6/2020","30.99149","16.8047"
"3/6/2020","33.99574","14.56255"
"3/6/2020","51.97447","16.1575"
"3/6/2020","57.99149","22.86504"
"3/6/2020","44.01986","25.85631"
"3/6/2020","43.00142","19.24287"
"3/6/2020","34.01277","16.12832"
"3/6/2020","44.9844","8.241934"
"3/6/2020","49.99291","6.842655"
"3/6/2020","50.99858","6.999475"
"3/6/2020","41.01418","8.269618"
"3/6/2020","52.983","10.74829"
"3/6/2020","62.98582","12.38657"
"3/6/2020","77","14.63779"
"3/5/2020","98.96884","25.81446"
"3/5/2020","76.03258","28.24084"
"3/5/2020","72.00567","23.95666"
"3/5/2020","47.03546","29.02486"
"3/5/2020","23.03399","25.3319"
"3/5/2020","21.00284","18.43592"
"3/5/2020","21.99858","18.00323"
"3/5/2020","13.01277","17.82005"
"3/5/2020","15.99574","17.03768"
"3/5/2020","18.99574","5.677341"
